#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 1.9E+06     0.011997     Lin-Lin
 1.91E+06    0.011942     Lin-Lin
 1.92E+06    0.011896     Lin-Lin
 1.93E+06    0.011857     Lin-Lin
 1.94E+06    0.011824     Lin-Lin
 1.95E+06    0.011794     Lin-Lin
 1.96E+06    0.011767     Lin-Lin
 1.97E+06    0.011742     Lin-Lin
 1.98E+06    0.011718     Lin-Lin
 1.99E+06    0.011698     Lin-Lin
 2E+06       0.01168      Lin-Lin
 2.01E+06    0.011666     Lin-Lin
 2.02E+06    0.011659     Lin-Lin
 2.03E+06    0.011662     Lin-Lin
 2.04E+06    0.011678     Lin-Lin
 2.05E+06    0.011714     Lin-Lin
 2.06E+06    0.011775     Lin-Lin
 2.07E+06    0.011873     Lin-Lin
 2.08E+06    0.012019     Lin-Lin
 2.09E+06    0.012233     Lin-Lin
 2.1E+06     0.012537     Lin-Lin
 2.11E+06    0.012969     Lin-Lin
 2.12E+06    0.013577     Lin-Lin
 2.13E+06    0.014437     Lin-Lin
 2.14E+06    0.015661     Lin-Lin
 2.15E+06    0.017421     Lin-Lin
 2.16E+06    0.019989     Lin-Lin
 2.17E+06    0.023783     Lin-Lin
 2.18E+06    0.029433     Lin-Lin
 2.19E+06    0.037749     Lin-Lin
 2.2E+06     0.049254     Lin-Lin
 2.202E+06   0.05188      Lin-Lin
 2.204E+06   0.054567     Lin-Lin
 2.206E+06   0.057279     Lin-Lin
 2.208E+06   0.059971     Lin-Lin
 2.21E+06    0.062591     Lin-Lin
 2.212E+06   0.065081     Lin-Lin
 2.214E+06   0.067377     Lin-Lin
 2.216E+06   0.069417     Lin-Lin
 2.218E+06   0.071139     Lin-Lin
 2.22E+06    0.072492     Lin-Lin
 2.222E+06   0.073435     Lin-Lin
 2.224E+06   0.073945     Lin-Lin
 2.226E+06   0.074013     Lin-Lin
 2.228E+06   0.073653     Lin-Lin
 2.23E+06    0.072889     Lin-Lin
